dataset,feature,n_obs
proteome,OGT,9746
proteome,OLFM4,9334
proteome,OLR1,10194
proteome,OMD,10351
proteome,OMG,10318
proteome,OMP,9605
proteome,OPHN1,9903
proteome,OPLAH,9666
proteome,OPTC,10318
proteome,ORM1,9847
proteome,OSBPL2,9903
proteome,OSCAR,10341
proteome,OSM,10258
proteome,OSMR,10345
proteome,OSTN,9655
proteome,OTOA,9605
proteome,OTUD6B,9886
proteome,OTUD7B,9908
proteome,OXCT1,9666
proteome,OXT,10430
proteome,P4HB,10293
proteome,PACS2,9611
proteome,PADI2,10167
proteome,PADI4,10114
proteome,PAEP,10264
proteome,PAFAH1B3,9908
proteome,PAFAH2,9746
proteome,PAG1,10146
proteome,PAGR1,9666
proteome,PAIP2B,9568
proteome,PAK4,10131
proteome,PALLD,9627
proteome,PALM,9840
proteome,PALM2,9903
proteome,PALM3,9611
proteome,PAM,10375
proteome,PAMR1,10349
proteome,PAPPA,10167
proteome,PARD3,9746
proteome,PARK7,10349
proteome,PARP1,10298
proteome,PAXX,9676
proteome,PBK,9580
proteome,PBLD,10131
proteome,PBXIP1,9886
proteome,PCARE,9605
proteome,PCBD1,9674
proteome,PCBP2,9908
proteome,PCDH1,10406
proteome,PCDH12,9908
proteome,PCDH17,10283
proteome,PCDH7,9886
proteome,PCDH9,9886
proteome,PCDHB15,9877
proteome,PCNA,9580
proteome,PCOLCE,4129
proteome,PCSK7,9877
proteome,PCSK9,10431
proteome,PCYT2,9886
proteome,PDAP1,9919
proteome,PDCD1,10396
proteome,PDCD1LG2,10318
proteome,PDCD5,10430
proteome,PDCD6,10283
proteome,PDCL2,9580
proteome,PDE1C,9580
proteome,PDE4D,9611
proteome,PDE5A,9676
proteome,PDGFA,10431
proteome,PDGFB,10351
proteome,PDGFC,10125
proteome,PDGFRA,10283
proteome,PDGFRB,10431
proteome,PDIA2,9580
proteome,PDIA3,9676
proteome,PDIA4,9921
proteome,PDIA5,9580
proteome,PDLIM5,9908
proteome,PDLIM7,10351
proteome,PDP1,10125
proteome,PDRG1,9655
proteome,PDXDC1,9580
proteome,PDZD2,9611
proteome,PDZK1,9627
proteome,PEAR1,10431
proteome,PEBP1,10349
proteome,PECAM1,10349
proteome,PECR,9666
proteome,PENK,9676
proteome,PEPD,9904
proteome,PER3,9627
proteome,PF4,9854
proteome,PFDN2,10131
proteome,PFDN4,9580
proteome,PFDN6,9655
proteome,PFKFB2,10300
proteome,PGA4,9904
proteome,PGD,9919
proteome,PGF,10432
proteome,PGLYRP1,10379
proteome,PGLYRP2,9806
proteome,PGLYRP4,9611
proteome,PGM2,9655
proteome,PGR,9627
proteome,PHACTR2,9908
proteome,PHLDB1,9886
proteome,PHLDB2,9580
proteome,PHOSPHO1,10264
proteome,PHYKPL,9676
proteome,PI16,9904
proteome,PI3,10088
proteome,PIBF1,9908
proteome,PIGR,10232
proteome,PIK3AP1,10298
proteome,PIK3IP1,10349
proteome,PIKFYVE,9627
proteome,PILRA,10349
proteome,PILRB,10283
proteome,PINLYP,9676
proteome,PITHD1,9568
proteome,PKD1,9919
proteome,PKD2,9611
proteome,PKLR,10322
proteome,PKN3,9746
proteome,PLA2G10,10264
proteome,PLA2G15,10379
proteome,PLA2G1B,10410
proteome,PLA2G2A,10325
proteome,PLA2G4A,10351
proteome,PLA2G7,10349
proteome,PLAT,10390
proteome,PLAU,10349
proteome,PLAUR,10222
proteome,PLB1,9903
proteome,PLCB1,9627
proteome,PLCB2,9903
proteome,PLEKHO1,9903
proteome,PLG,9701
proteome,PLIN1,10131
proteome,PLIN3,10283
proteome,PLPBP,10283
proteome,PLSCR3,9872
proteome,PLTP,10412
proteome,PLXDC1,10125
proteome,PLXDC2,9903
proteome,PLXNA4,10298
proteome,PLXNB2,10372
proteome,PLXNB3,10261
proteome,PM20D1,10208
proteome,PMCH,9611
proteome,PMM2,9611
proteome,PMS1,9655
proteome,PMVK,10115
proteome,PNLIP,9904
proteome,PNLIPRP1,9903
proteome,PNLIPRP2,10330
proteome,PNMA1,9666
proteome,PNMA2,9605
proteome,PNPT1,10167
proteome,PODXL,10318
proteome,PODXL2,10379
proteome,POF1B,9627
proteome,POLR2A,9627
proteome,POLR2F,10318
proteome,POMC,9666
proteome,PON1,9904
proteome,PON2,10146
proteome,PON3,10351
proteome,POSTN,9921
proteome,PPBP,9854
proteome,PPCDC,10430
proteome,PPIB,10352
proteome,PPIE,9746
proteome,PPIF,9921
proteome,PPL,9627
proteome,PPM1A,10125
proteome,PPM1B,9627
proteome,PPM1F,9919
proteome,PPME1,10318
proteome,PPP1CC,9877
proteome,PPP1R12A,10379
proteome,PPP1R12B,9746
proteome,PPP1R14A,9908
proteome,PPP1R14D,9908
proteome,PPP1R2,10283
proteome,PPP1R9B,10432
proteome,PPP2R5A,9886
proteome,PPP3R1,10264
proteome,PPT1,9655
proteome,PPY,10366
proteome,PQBP1,10125
proteome,PRAME,9580
proteome,PRAP1,9921
proteome,PRC1,9877
proteome,PRCP,10394
proteome,PRDX1,10115
proteome,PRDX2,9731
proteome,PRDX3,10167
proteome,PRDX5,10432
proteome,PRDX6,10438
proteome,PREB,10167
proteome,PRELP,10330
proteome,PRG2,9921
proteome,PRG3,9921
proteome,PRKAB1,10167
proteome,PRKAG3,9655
proteome,PRKAR1A,10283
proteome,PRKAR2A,9889
proteome,PRKCQ,10167
proteome,PRKD2,9611
proteome,PRKG1,9676
proteome,PRKRA,10125
proteome,PRL,10430
proteome,PRND,9903
proteome,PROC,10312
proteome,PROCR,9611
proteome,PROK1,10298
proteome,PROS1,9911
proteome,PRR4,9574
proteome,PRR5,9627
proteome,PRRT3,9666
proteome,PRSS2,10345
proteome,PRSS22,9627
proteome,PRSS27,10243
proteome,PRSS53,9903
proteome,PRSS8,10221
proteome,PRTFDC1,10131
proteome,PRTG,10438
proteome,PRTN3,10081
proteome,PRUNE2,9746
proteome,PSAP,9847
proteome,PSAPL1,9886
proteome,PSCA,9886
proteome,PSG1,10264
proteome,PSIP1,10298
proteome,PSMA1,10125
proteome,PSMC3,9580
proteome,PSMD1,9908
proteome,PSMD5,9655
proteome,PSMD9,10318
proteome,PSME1,10264
proteome,PSME2,10239
proteome,PSMG3,10298
proteome,PSMG4,9627
proteome,PSPN,10298
proteome,PSRC1,10125
proteome,PSTPIP2,9417
proteome,PTEN,10131
proteome,PTGDS,10208
proteome,PTGES2,9557
proteome,PTGR1,9919
proteome,PTH,9655
proteome,PTH1R,10298
proteome,PTK7,10131
proteome,PTN,10146
proteome,PTP4A3,9627
proteome,PTPN1,10264
proteome,PTPN6,10343
proteome,PTPN9,9621
proteome,PTPRB,9919
proteome,PTPRC,9921
proteome,PTPRF,10431
proteome,PTPRH,9886
proteome,PTPRK,9886
proteome,PTPRM,10288
proteome,PTPRN2,10244
proteome,PTPRR,9903
proteome,PTPRS,10431
proteome,PTPRZ1,9919
proteome,PTRHD1,9676
proteome,PTS,10087
proteome,PTTG1,9746
proteome,PTX3,10298
proteome,PVALB,10402
proteome,PVR,10430
proteome,PXDNL,9877
proteome,PXN,10131
proteome,PYDC1,9666
proteome,PYY,9611
proteome,PZP,9911
proteome,QDPR,10222
proteome,QPCT,10318
proteome,QSOX1,9798
proteome,RAB10,9919
proteome,RAB11FIP3,9919
proteome,RAB27B,9919
proteome,RAB2B,9877
proteome,RAB33A,9611
proteome,RAB37,10167
proteome,RAB39B,9611
proteome,RAB3GAP1,9605
proteome,RAB44,9877
proteome,RAB6A,10298
proteome,RAB6B,10131
proteome,RABEP1,9676
proteome,RABEPK,10125
proteome,RABGAP1L,10167
proteome,RAC3,9655
proteome,RAD23B,10125
proteome,RAD51,9746
proteome,RALB,9627
proteome,RALY,9877
proteome,RANBP1,9666
proteome,RANBP2,9605
proteome,RANGAP1,10125
proteome,RAP1A,9627
proteome,RAPGEF2,9746
proteome,RARRES1,10125
proteome,RARRES2,10345
proteome,RASA1,10131
proteome,RASGRF1,9580
proteome,RASSF2,10125
proteome,RBFOX3,9908
proteome,RBKS,10134
proteome,RBM17,9908
proteome,RBM19,9611
proteome,RBM25,9580
proteome,RBP1,9655
proteome,RBP2,10318
proteome,RBP5,10318
proteome,RBP7,9886
proteome,RBPMS,9627
proteome,RBPMS2,9666
proteome,RCC1,9877
proteome,RCOR1,10146
proteome,RECK,9666
proteome,REEP4,9908
proteome,REG1A,10242
proteome,REG1B,10431
proteome,REG3A,10431
proteome,REG3G,9877
proteome,REG4,10341
proteome,RELB,9627
proteome,RELT,10349
proteome,REN,10283
proteome,REPS1,9627
proteome,REST,9580
proteome,RET,10318
proteome,RETN,10293
proteome,REXO2,9611
proteome,RFC4,9877
proteome,RGCC,9908
proteome,RGL2,9746
proteome,RGMA,10430
proteome,RGMB,10430
proteome,RGS10,9908
proteome,RGS8,10167
proteome,RHOC,10167
proteome,RICTOR,9627
proteome,RIDA,9676
proteome,RILP,10409
proteome,RILPL2,9919
proteome,RIPK4,9611
proteome,RLN1,9908
proteome,RLN2,9654
proteome,RNASE1,9904
proteome,RNASE10,9666
proteome,RNASE3,10243
proteome,RNASE4,9578
proteome,RNASE6,9851
proteome,RNASEH2A,9908
proteome,RNASET2,10394
proteome,RNF149,9666
proteome,RNF168,9627
proteome,RNF31,9627
proteome,RNF4,9746
proteome,RNF41,10125
proteome,RNF43,9746
proteome,RNF5,9666
proteome,ROBO1,10341
proteome,ROBO2,10430
proteome,ROBO4,9666
proteome,ROR1,10283
proteome,RP2,10318
proteome,RPA2,9627
proteome,RPE,9746
proteome,RPGR,9655
proteome,RPL14,9666
proteome,RPS10,9611
proteome,RRAS,9655
proteome,RRM2,10125
proteome,RRM2B,10125
proteome,RRP15,9605
proteome,RSPO1,10264
proteome,RSPO3,10438
proteome,RTBDN,10318
proteome,RTKN2,9611
proteome,RTN4IP1,9908
proteome,RTN4R,10438
proteome,RUVBL1,10125
proteome,RWDD1,10430
proteome,RYR1,9611
proteome,S100A11,10180
proteome,S100A12,10175
proteome,S100A13,9627
proteome,S100A14,9908
proteome,S100A16,10114
proteome,S100A3,9877
proteome,S100A4,10379
proteome,S100G,9908
proteome,S100P,10146
proteome,SAA4,9911
proteome,SAFB2,9908
proteome,SAG,9605
proteome,SAMD9L,10298
proteome,SAP18,9746
proteome,SARG,9862
proteome,SART1,9611
proteome,SAT1,9611
proteome,SAT2,9746
proteome,SATB1,9908
proteome,SBSN,9915
proteome,SCAMP3,10318
proteome,SCARA5,10430
proteome,SCARB1,10131
proteome,SCARB2,10139
proteome,SCARF1,10431
proteome,SCARF2,10430
proteome,SCG2,10394
proteome,SCG3,10341
proteome,SCGB1A1,10326
proteome,SCGB2A2,9611
proteome,SCGB3A1,9676
proteome,SCGB3A2,10343
proteome,SCGN,10167
proteome,SCIN,9605
proteome,SCLY,10409
proteome,SCN2A,9605
proteome,SCN2B,9655
proteome,SCN3A,9655
proteome,SCN3B,9605
proteome,SCN4B,9666
proteome,SCP2,10125
proteome,SCPEP1,9622
proteome,SCRG1,9919
proteome,SCRIB,9666
proteome,SCRN1,10298
proteome,SCT,9655
proteome,SDC1,10283
proteome,SDC4,10283
proteome,SDCCAG8,9877
proteome,SDHB,9886
proteome,SDK2,9676
proteome,SEC31A,9666
proteome,SEL1L,9666
proteome,SELE,10431
proteome,SELENOP,9911
proteome,SELL,9911
proteome,SELP,10345
proteome,SELPLG,10298
proteome,SEMA3F,10283
proteome,SEMA3G,9676
proteome,SEMA4C,10318
proteome,SEMA4D,10430
proteome,SEMA6C,9627
proteome,SEMA7A,10390
proteome,SEPTIN3,9908
proteome,SEPTIN7,9746
proteome,SEPTIN8,9881
proteome,SEPTIN9,10318
proteome,SERPINA1,9733
proteome,SERPINA11,10431
proteome,SERPINA12,9980
proteome,SERPINA3,9869
proteome,SERPINA4,9775
proteome,SERPINA5,9807
proteome,SERPINA6,9911
proteome,SERPINA7,9911
proteome,SERPINA9,10242
proteome,SERPINB1,10302
proteome,SERPINB5,10146
proteome,SERPINB6,10414
proteome,SERPINB8,10432
proteome,SERPINB9,10264
proteome,SERPINC1,9892
proteome,SERPIND1,9892
proteome,SERPINE1,10431
proteome,SERPINE2,9919
proteome,SERPINF1,9730
proteome,SERPINF2,9721
proteome,SERPING1,9892
proteome,SERPINH1,9746
proteome,SERPINI1,9659
proteome,SERPINI2,9886
proteome,SESTD1,10131
proteome,SETMAR,10237
proteome,SEZ6,9655
proteome,SEZ6L,10379
proteome,SEZ6L2,10318
proteome,SF3B4,10318
proteome,SFRP1,10233
proteome,SFRP4,9676
proteome,SFTPA1,10125
proteome,SFTPA2,10125
proteome,SFTPD,10283
proteome,SGSH,9772
proteome,SH2B3,10125
proteome,SH2D1A,10298
proteome,SH3BGRL2,9605
proteome,SH3BP1,9886
proteome,SH3GL3,9721
proteome,SH3GLB2,9903
proteome,SHBG,9904
proteome,SHC1,9580
proteome,SHD,9588
proteome,SHH,9627
proteome,SHISA5,9921
proteome,SHMT1,10343
proteome,SHPK,9746
proteome,SIAE,10362
proteome,SIGLEC1,10351
proteome,SIGLEC10,10298
proteome,SIGLEC15,10131
proteome,SIGLEC5,10349
proteome,SIGLEC6,10438
proteome,SIGLEC7,10283
proteome,SIGLEC8,9666
proteome,SIGLEC9,10420
proteome,SIL1,9666
proteome,SIRPA,10348
proteome,SIRPB1,10309
proteome,SIRT1,9627
proteome,SIRT2,10318
proteome,SIRT5,10131
proteome,SIT1,10167
proteome,SKAP1,10256
proteome,SKAP2,10351
proteome,SKIV2L,9611
proteome,SLA2,9908
proteome,SLAMF1,10167
proteome,SLAMF6,10125
proteome,SLAMF7,10298
proteome,SLAMF8,10125
proteome,SLC12A2,9611
proteome,SLC13A1,9877
proteome,SLC16A1,10131
proteome,SLC1A4,9655
proteome,SLC27A4,10131
proteome,SLC28A1,9580
proteome,SLC34A3,9580
proteome,SLC39A14,10131
proteome,SLC39A5,10298
proteome,SLC44A4,9655
proteome,SLC4A1,9921
proteome,SLC51B,9611
proteome,SLC9A3R1,9676
proteome,SLC9A3R2,9886
proteome,SLIRP,9580
proteome,SLIT2,10131
proteome,SLITRK1,9627
proteome,SLITRK2,10438
proteome,SLITRK6,10146
proteome,SLK,9746
proteome,SLMAP,9886
proteome,SLURP1,9856
proteome,SMAD1,10125
proteome,SMAD2,9877
proteome,SMAD3,9877
proteome,SMAD5,10318
proteome,SMARCA2,10131
proteome,SMC3,9580
proteome,SMNDC1,9886
proteome,SMOC1,10438
proteome,SMOC2,10351
proteome,SMPD1,10406
proteome,SMPD3,9627
proteome,SMPDL3A,10330
proteome,SMPDL3B,9877
proteome,SMS,9605
proteome,SMTN,9884
proteome,SNAP23,10283
proteome,SNAP25,9605
proteome,SNAP29,10379
proteome,SNAPIN,9908
proteome,SNCA,9676
proteome,SNCG,10264
proteome,SNED1,9666
proteome,SNRPB2,9903
proteome,SNU13,9611
proteome,SNX15,9676
proteome,SNX18,9886
proteome,SNX2,9877
proteome,SNX5,9666
proteome,SNX9,10283
proteome,SOD1,10077
proteome,SOD2,10349
proteome,SOD3,9904
proteome,SORBS1,9908
proteome,SORCS2,10125
proteome,SORD,10398
proteome,SORT1,10253
proteome,SOST,10253
proteome,SOWAHA,9655
proteome,SOX2,9886
proteome,SOX9,9655
proteome,SPACA5_SPACA5B,9908
proteome,SPAG1,9908
proteome,SPARC,10379
proteome,SPARCL1,10320
proteome,SPART,9676
proteome,SPESP1,9919
proteome,SPINK1,10349
proteome,SPINK2,9676
proteome,SPINK4,10298
proteome,SPINK5,10349
proteome,SPINK6,10438
proteome,SPINK8,9611
proteome,SPINT1,10297
proteome,SPINT2,10351
proteome,SPINT3,9886
proteome,SPOCK1,10264
proteome,SPON1,10341
proteome,SPON2,10230
proteome,SPP1,10420
proteome,SPRED2,9627
proteome,SPRING1,9580
proteome,SPRR1B,9746
proteome,SPRR3,9903
proteome,SPRY2,10167
proteome,SPTBN2,9605
proteome,SPTLC1,9903
proteome,SRC,10359
proteome,SRP14,10318
proteome,SRPK2,10298
proteome,SRPX,9919
proteome,SSB,10131
proteome,SSBP1,9627
proteome,SSC4D,10253
proteome,SSC5D,10345
proteome,SSH3,9580
proteome,SSNA1,9886
proteome,ST13,9676
proteome,ST3GAL1,10318
proteome,ST6GAL1,10431
proteome,ST8SIA1,9627
proteome,STAB2,9921
proteome,STAM,9877
proteome,STAMBP,10256
proteome,STAT2,9627
proteome,STAT5B,10318
proteome,STAU1,9580
proteome,STC1,10430
proteome,STC2,10349
proteome,STEAP4,9605
proteome,STIP1,10321
proteome,STK11,10146
proteome,STK24,10131
proteome,STK4,10283
proteome,STOML2,9580
proteome,STX16,10125
proteome,STX1B,9655
proteome,STX3,9903
proteome,STX4,10318
proteome,STX5,9627
proteome,STX6,10125
proteome,STX7,9627
proteome,STX8,10298
proteome,STXBP1,9908
proteome,STXBP3,10125
proteome,SUGP1,9886
proteome,SUGT1,10125
proteome,SULT1A1,10430
proteome,SULT2A1,10298
proteome,SUMF1,9627
proteome,SUMF2,10430
proteome,SUOX,9908
proteome,SUSD1,10146
proteome,SUSD2,10349
proteome,SUSD4,9877
proteome,SUSD5,9625
proteome,SV2A,9655
proteome,SWAP70,9886
proteome,SYAP1,9676
proteome,SYNGAP1,9605
proteome,SYT1,9903
proteome,SYTL4,9919
proteome,TAB2,9746
proteome,TACC3,10318
proteome,TACSTD2,9275
proteome,TADA3,9877
proteome,TAFA5,10318
proteome,TAGLN3,9580
proteome,TALDO1,9893
proteome,TANK,10167
proteome,TAP1,9746
proteome,TARBP2,10131
proteome,TARM1,9655
proteome,TARS1,9877
proteome,TAX1BP1,9903
proteome,TBC1D17,10131
proteome,TBC1D23,10318
proteome,TBC1D5,10298
proteome,TBCA,9676
proteome,TBCB,10264
proteome,TBCC,10264
proteome,TBL1X,10125
proteome,TBR1,9655
proteome,TCL1A,10255
proteome,TCL1B,10146
proteome,TCN1,9690
proteome,TCN2,10420
proteome,TCOF1,9919
proteome,TCP11,9746
proteome,TCTN3,9919
proteome,TDGF1,10131
proteome,TDO2,9655
proteome,TDP1,9877
proteome,TDRKH,10131
proteome,TEF,9611
proteome,TEK,10379
proteome,TERF1,9627
proteome,TET2,9733
proteome,TEX101,9655
proteome,TEX33,9746
proteome,TF,9911
proteome,TFAP2A,9605
proteome,TFF1,10292
proteome,TFF2,10343
proteome,TFF3,10267
proteome,TFPI,10254
proteome,TFPI2,10365
proteome,TFRC,10303
proteome,TG,9877
proteome,TGFA,10298
proteome,TGFB1,10415
proteome,TGFB2,9877
proteome,TGFBI,10230
proteome,TGFBR1,9627
proteome,TGFBR2,10379
proteome,TGFBR3,10431
proteome,TGM2,10277
proteome,TGOLN2,9904
proteome,THAP12,9568
proteome,THBD,10283
proteome,THBS2,10349
proteome,THBS4,10295
proteome,THOP1,10221
proteome,THPO,10146
proteome,THRAP3,9611
proteome,THSD1,9565
proteome,THTPA,9875
proteome,THY1,10430
proteome,TIA1,10046
proteome,TIE1,10431
proteome,TIGAR,10123
proteome,TIGIT,9746
proteome,TIMD4,10345
proteome,TIMM10,9919
proteome,TIMM8A,9903
proteome,TIMP1,10171
proteome,TIMP2,9919
proteome,TIMP3,10351
proteome,TIMP4,10349
proteome,TINAGL1,10253
proteome,TJAP1,10379
proteome,TJP3,9605
proteome,TK1,9746
proteome,TLR1,9627
proteome,TLR2,9746
proteome,TLR3,10432
proteome,TLR4,9627
proteome,TMCO5A,9655
proteome,TMED1,9746
proteome,TMED10,9611
proteome,TMED4,9611
proteome,TMED8,9886
proteome,TMEM106A,9877
proteome,TMEM132A,9666
proteome,TMEM25,9908
proteome,TMOD4,9580
proteome,TMPRSS11B,9605
proteome,TMPRSS11D,9881
proteome,TMPRSS15,10318
proteome,TMPRSS5,10195
proteome,TMSB10,10349
proteome,TNC,10345
proteome,TNF,10146
proteome,TNFAIP2,9886
proteome,TNFAIP8,10167
proteome,TNFAIP8L2,9676
proteome,TNFRSF10A,10264
proteome,TNFRSF10B,10264
proteome,TNFRSF10C,10339
proteome,TNFRSF11A,10432
proteome,TNFRSF11B,10330
proteome,TNFRSF12A,10379
proteome,TNFRSF13B,10341
proteome,TNFRSF13C,10167
proteome,TNFRSF14,10341
proteome,TNFRSF17,9676
proteome,TNFRSF19,10438
proteome,TNFRSF1A,10349
proteome,TNFRSF1B,10349
proteome,TNFRSF21,10430
proteome,TNFRSF4,10415
proteome,TNFRSF6B,10264
proteome,TNFRSF8,10430
proteome,TNFRSF9,10264
proteome,TNFSF10,10432
proteome,TNFSF11,10298
proteome,TNFSF12,10432
proteome,TNFSF13,10351
proteome,TNFSF13B,10417
proteome,TNFSF14,10264
proteome,TNFSF8,9921
proteome,TNIP1,9903
proteome,TNN,9921
proteome,TNNI3,10146
proteome,TNPO1,9746
proteome,TNR,10264
proteome,TNXB,10349
proteome,TOMM20,9919
proteome,TOP1,9886
proteome,TOP1MT,9580
proteome,TOP2B,9627
proteome,TOR1AIP1,9666
proteome,TP53,10125
proteome,TP53BP1,9627
proteome,TP53I3,9521
proteome,TP53INP1,10146
proteome,TP73,9655
proteome,TPBGL,9655
proteome,TPD52L2,9676
proteome,TPK1,9919
proteome,TPM3,9611
proteome,TPMT,10125
proteome,TPP1,10258
proteome,TPPP2,9746
proteome,TPPP3,10131
proteome,TPR,9611
proteome,TPRKB,9580
proteome,TPSAB1,10410
proteome,TPSD1,9908
proteome,TPSG1,9627
proteome,TPT1,10167
proteome,TRAF2,10298
proteome,TRAF3,9627
proteome,TRAF3IP2,9611
proteome,TRDMT1,9746
proteome,TREH,9921
proteome,TREM2,10330
proteome,TREML1,9904
proteome,TREML2,10349
proteome,TRIAP1,10438
proteome,TRIM21,10298
proteome,TRIM24,9734
proteome,TRIM25,9886
proteome,TRIM26,9580
proteome,TRIM40,9655
proteome,TRIM5,10298
proteome,TRIM58,9877
proteome,TRPV3,9611
proteome,TSC1,9627
proteome,TSC22D1,9908
proteome,TSHB,10283
proteome,TSLP,10146
proteome,TSNAX,9611
proteome,TSPAN1,10146
proteome,TSPAN15,9611
proteome,TSPAN7,9605
proteome,TSPAN8,9886
proteome,TSPYL1,9627
proteome,TST,10100
proteome,TTF2,9655
proteome,TTN,9611
proteome,TTR,9810
proteome,TUBB3,9605
proteome,TWF2,9921
proteome,TXK,9746
proteome,TXLNA,10264
proteome,TXN,9822
proteome,TXNDC15,10379
proteome,TXNDC5,10430
proteome,TXNDC9,9903
proteome,TXNL1,9588
proteome,TXNRD1,10349
proteome,TYMP,10219
proteome,TYRO3,10283
proteome,TYRP1,9627
proteome,UBAC1,10318
proteome,UBE2B,9877
proteome,UBE2L6,9919
proteome,UBE2Z,9627
proteome,UBQLN3,9611
proteome,UBXN1,9676
proteome,UFD1,9886
proteome,UGDH,9611
proteome,UHRF2,9611
proteome,ULBP2,10264
proteome,UMOD,10415
proteome,UNC5D,9627
proteome,UNC79,9580
proteome,UNG,9877
proteome,UPB1,9919
proteome,UPK3A,9605
proteome,UPK3BL1,9724
proteome,UROD,9676
proteome,UROS,9655
proteome,USO1,10318
proteome,USP25,9877
proteome,USP28,9903
proteome,USP47,9611
proteome,USP8,10146
proteome,UXS1,10125
proteome,VAMP5,10146
proteome,VAMP8,9627
proteome,VASH1,10298
proteome,VASN,10108
proteome,VASP,9904
proteome,VAT1,10318
proteome,VAV3,9605
proteome,VCAM1,10312
proteome,VCAN,10430
proteome,VCPKMT,9580
proteome,VEGFA,10367
proteome,VEGFB,9627
proteome,VEGFC,10379
proteome,VEGFD,10394
proteome,VGF,9908
proteome,VIM,10146
proteome,VIPR1,9666
proteome,VIT,9919
proteome,VMO1,10318
proteome,VNN1,9904
proteome,VNN2,10318
proteome,VPS28,9746
proteome,VPS37A,10318
proteome,VPS4B,9877
proteome,VPS53,10318
proteome,VSIG10,9877
proteome,VSIG10L,9611
proteome,VSIG2,9877
proteome,VSIG4,10349
proteome,VSIR,10283
proteome,VSNL1,9903
proteome,VSTM1,10131
proteome,VSTM2B,9746
proteome,VSTM2L,10146
proteome,VTA1,10430
proteome,VTCN1,10125
proteome,VTI1A,9676
proteome,VWA1,10427
proteome,VWA5A,9580
proteome,VWC2,10237
proteome,VWC2L,9908
proteome,VWF,10431
proteome,WARS,10349
proteome,WAS,10167
proteome,WASF1,10146
proteome,WASF3,10131
proteome,WASHC3,9903
proteome,WASL,9627
proteome,WDR46,9877
proteome,WFDC1,9743
proteome,WFDC12,10408
proteome,WFDC2,9864
proteome,WFIKKN1,10237
proteome,WFIKKN2,10341
proteome,WIF1,10438
proteome,WNT9A,10167
proteome,WWP2,10264
proteome,XCL1,10438
proteome,XG,10344
proteome,XIAP,9627
proteome,XPNPEP2,10379
proteome,XRCC4,10131
proteome,YAP1,9903
proteome,YARS1,9886
proteome,YES1,10318
proteome,YJU2,9877
proteome,YOD1,9611
proteome,YTHDF3,10167
proteome,YWHAQ,9676
proteome,YY1,9627
proteome,ZBP1,9627
proteome,ZBTB16,10125
proteome,ZBTB17,10146
proteome,ZCCHC8,9611
proteome,ZFYVE19,9886
proteome,ZHX2,9903
proteome,ZNF174,9627
proteome,ZNF75D,9746
proteome,ZNF830,9877
proteome,ZNRD2,9886
proteome,ZNRF4,9877
proteome,ZP3,9666
proteome,ZP4,9580
proteome,ZPR1,9605
